Date,Open,High,Low,Close,Volume,daily_return,log_return,vol_20d,cluster_regime,vol_z
2015-08-11,8548.4501953125,8556.25,8441.2998046875,8462.349609375,154400,-0.0074188330320424,-0.0074464894442594,0.1264514617844671,0.0,-0.16905688105773667
2015-08-12,8445.7001953125,8446.9501953125,8337.9501953125,8349.4501953125,190000,-0.0133413790819306,-0.0134311748403183,0.1311710264023652,0.0,-0.1117805986288141
2015-08-13,8384.4501953125,8429.5,8339.75,8355.849609375,189200,0.0007664473603414,0.0007661537895581,0.1250097014476407,0.0,-0.18655397643253496
2015-08-14,8402.349609375,8530.099609375,8381.2001953125,8518.5498046875,155900,0.019471412593395,0.0192842700246075,0.1451557872738527,1.0,0.05793741102373587
2015-08-17,8530.5,8530.599609375,8428.0498046875,8477.2998046875,174700,-0.0048423735196454,-0.0048541357972207,0.1459659474099832,0.0,0.06776945370701432
2015-08-18,8505.849609375,8525.75,8433.599609375,8466.5498046875,153300,-0.0012680924643075,-0.001268897173926,0.1429896936949198,0.0,0.03164986171803515
2015-08-19,8468.0498046875,8520.4501953125,8425.9501953125,8495.150390625,130500,0.0033780685872379,0.003372375730519,0.1360523604745526,0.0,-0.05254109422871457
2015-08-20,8471.0498046875,8501.349609375,8359.75,8372.75,184100,-0.0144082664810828,-0.0145130734956471,0.1438784414693547,0.0,0.04243563808892427
2015-08-21,8305.400390625,8322.2001953125,8225.0498046875,8299.9501953125,201300,-0.0086948499223672,-0.008732870680242,0.1443691578276157,0.0,0.048390935029167706
2015-08-24,8055.9501953125,8060.0498046875,7769.39990234375,7809.0,312400,-0.0591509808805563,-0.0609725995392517,0.2504374109424101,1.0,1.3356273040591247
2015-08-25,7895.39990234375,7925.39990234375,7667.25,7880.7001953125,299100,0.0091817384188115,0.0091398425148358,0.2543814254581023,1.0,1.3834915685821432
2015-08-26,7865.25,7930.0498046875,7777.10009765625,7791.85009765625,216600,-0.0112743912919183,-0.0113384290206531,0.2545311803666431,1.0,1.385308982926715
2015-08-27,7921.60009765625,7963.60009765625,7862.2998046875,7948.9501953125,305000,0.0201621047231779,0.0199615408679432,0.2662717910838417,1.0,1.5277921545260875
2015-08-28,8053.7001953125,8091.7998046875,7961.64990234375,8001.9501953125,195600,0.0066675471222921,0.0066454173430795,0.2620840972912776,1.0,1.476970616564908
2015-08-31,8009.25,8043.60009765625,7947.9501953125,7971.2998046875,198200,-0.0038303650831211,-0.0038377197180878,0.2615701226001304,1.0,1.4707330582401796
2015-09-01,7907.9501953125,7929.10009765625,7746.5,7785.85009765625,184900,-0.0232646759719408,-0.0235395704702459,0.2710802978194487,1.0,1.5861478318285123
2015-09-02,7856.64990234375,7862.5498046875,7699.25,7717.0,215300,-0.0088429775544967,-0.008882308721944,0.2685931340836618,1.0,1.5559637991663327
2015-09-03,7774.4501953125,7845.60009765625,7754.0498046875,7823.0,155800,0.0137359077361669,0.0136424252274776,0.2756951536130134,1.0,1.6421533758141942
2015-09-04,7803.39990234375,7804.89990234375,7626.85009765625,7655.0498046875,193600,-0.0214687709718138,-0.0217025774501897,0.2820872624154784,1.0,1.7197275290947653
2015-09-07,7685.85009765625,7705.0498046875,7545.89990234375,7558.7998046875,141400,-0.0125733995801127,-0.0126531136580957,0.2831474428612559,1.0,1.7325937995146454
2015-09-08,7587.7001953125,7720.89990234375,7539.5,7688.25,172200,0.0171257605251329,0.0169807677548254,0.2945593294785915,1.0,1.871087600078913
